ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,592
1,searcher,0,Did not die,592
2,digger,0,Did not die,592
3,digger,0,Did not die,592
4,digger,0,Did not die,592
5,digger,0,Pit,461
6,digger,0,Did not die,592
7,minerBuilder,0,Did not die,592
8,minerBuilder,0,Did not die,592
9,minerBuilder,0,Did not die,592
10,minerBuilder,5,Did not die,592
11,minerBuilder,0,Did not die,592
12,superMiner,0,Pit,522
13,superMiner,0,Did not die,592
14,superMiner,0,Did not die,592
15,superMiner,0,Did not die,592
16,superMiner,0,Did not die,592
17,ultimateMiner,0,Did not die,592
18,ultimateMiner,0,Pit,399
19,ultimateMiner,0,Did not die,592
20,ultimateMiner,0,Lava,591
21,ultimateMiner,0,Did not die,592
