ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,547
1,searcher,0,Did not die,547
2,searcher,0,Did not die,547
3,digger,0,Did not die,547
4,digger,0,Did not die,547
5,digger,0,Did not die,547
6,digger,0,Did not die,547
7,digger,0,Did not die,547
8,minerBuilder,0,Did not die,547
9,minerBuilder,0,Did not die,547
10,minerBuilder,0,Did not die,547
11,minerBuilder,0,Did not die,547
12,minerBuilder,5,Did not die,547
13,superMiner,0,Did not die,547
14,superMiner,0,Pit,546
15,superMiner,0,Did not die,547
16,superMiner,0,Pit,481
17,superMiner,0,Did not die,547
18,ultimateMiner,0,Pit,435
19,ultimateMiner,0,Did not die,547
20,ultimateMiner,5,Did not die,547
21,ultimateMiner,0,Did not die,547
22,ultimateMiner,0,Did not die,547
