ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,613
1,searcher,0,Did not die,613
2,searcher,0,Did not die,613
3,searcher,0,Did not die,613
4,searcher,0,Did not die,613
5,digger,0,Did not die,613
6,digger,0,Did not die,613
7,digger,0,Did not die,613
8,digger,0,Did not die,613
9,digger,0,Did not die,613
10,minerBuilder,0,Did not die,613
11,minerBuilder,0,Did not die,613
12,minerBuilder,0,Did not die,613
13,minerBuilder,0,Did not die,613
14,minerBuilder,0,Pit,455
15,superMiner,5,Did not die,613
16,superMiner,0,Did not die,613
17,superMiner,0,Did not die,613
18,superMiner,0,Did not die,613
19,superMiner,0,Did not die,613
20,ultimateMiner,0,Pit,544
21,ultimateMiner,0,Pit,612
22,ultimateMiner,0,Did not die,613
23,ultimateMiner,0,Did not die,613
24,ultimateMiner,5,Did not die,613
