ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,701
1,searcher,0,Did not die,701
2,searcher,0,Did not die,701
3,searcher,0,Did not die,701
4,searcher,0,Did not die,701
5,searcher,0,Did not die,701
6,digger,0,Did not die,701
7,digger,0,Did not die,701
8,digger,0,Pit,565
9,digger,0,Did not die,701
10,digger,0,Did not die,701
11,minerBuilder,5,Did not die,701
12,minerBuilder,0,Pit,490
13,minerBuilder,0,Did not die,701
14,minerBuilder,0,Did not die,701
15,minerBuilder,0,Did not die,701
16,superMiner,0,Did not die,701
17,superMiner,0,Did not die,701
18,superMiner,0,Did not die,701
19,superMiner,0,Did not die,701
20,superMiner,5,Did not die,701
21,ultimateMiner,0,Lava,700
22,ultimateMiner,0,Pit,622
23,ultimateMiner,0,Did not die,701
24,ultimateMiner,0,Did not die,701
25,ultimateMiner,0,Did not die,701
