ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,726
1,searcher,0,Did not die,726
2,searcher,0,Did not die,726
3,searcher,0,Did not die,726
4,searcher,0,Did not die,726
5,searcher,0,Did not die,726
6,searcher,0,Did not die,726
7,digger,0,Did not die,726
8,digger,0,Pit,656
9,digger,0,Did not die,726
10,digger,0,Did not die,726
11,digger,0,Did not die,726
12,minerBuilder,0,Pit,582
13,minerBuilder,0,Did not die,726
14,minerBuilder,0,Did not die,726
15,minerBuilder,0,Lava,725
16,minerBuilder,5,Did not die,726
17,superMiner,0,Did not die,726
18,superMiner,0,Did not die,726
19,superMiner,0,Pit,497
20,superMiner,0,Did not die,726
21,superMiner,0,Did not die,726
22,ultimateMiner,5,Did not die,726
23,ultimateMiner,0,Did not die,726
24,ultimateMiner,0,Did not die,726
25,ultimateMiner,0,Did not die,726
26,ultimateMiner,0,Did not die,726
