ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,684
1,searcher,0,Did not die,684
2,searcher,0,Did not die,684
3,searcher,0,Did not die,684
4,searcher,0,Did not die,684
5,searcher,0,Did not die,684
6,searcher,0,Did not die,684
7,searcher,0,Did not die,684
8,digger,0,Did not die,684
9,digger,0,Did not die,684
10,digger,0,Did not die,684
11,digger,0,Did not die,684
12,digger,0,Did not die,684
13,minerBuilder,0,Did not die,684
14,minerBuilder,0,Did not die,684
15,minerBuilder,5,Did not die,684
16,minerBuilder,0,Did not die,684
17,minerBuilder,0,Did not die,684
18,superMiner,5,Did not die,684
19,superMiner,0,Did not die,684
20,superMiner,0,Pit,587
21,superMiner,0,Did not die,684
22,superMiner,0,Did not die,684
23,ultimateMiner,0,Did not die,684
24,ultimateMiner,0,Did not die,684
25,ultimateMiner,0,Pit,531
26,ultimateMiner,0,Did not die,684
27,ultimateMiner,0,Pit,683
