ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,807
1,searcher,0,Did not die,807
2,searcher,0,Did not die,807
3,searcher,0,Did not die,807
4,searcher,0,Did not die,807
5,searcher,0,Did not die,807
6,searcher,0,Did not die,807
7,searcher,0,Did not die,807
8,searcher,0,Did not die,807
9,digger,0,Did not die,807
10,digger,0,Did not die,807
11,digger,0,Did not die,807
12,digger,0,Lava,777
13,digger,0,Pit,701
14,minerBuilder,0,Did not die,807
15,minerBuilder,0,Pit,522
16,minerBuilder,5,Did not die,807
17,minerBuilder,0,Pit,621
18,minerBuilder,0,Did not die,807
19,superMiner,0,Did not die,807
20,superMiner,0,Did not die,807
21,superMiner,0,Did not die,807
22,superMiner,0,Did not die,807
23,superMiner,0,Did not die,807
24,ultimateMiner,0,Did not die,807
25,ultimateMiner,0,Did not die,807
26,ultimateMiner,0,Lava,806
27,ultimateMiner,5,Did not die,807
28,ultimateMiner,0,Did not die,807
