ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,739
1,searcher,0,Did not die,739
2,searcher,0,Did not die,739
3,searcher,0,Did not die,739
4,searcher,0,Did not die,739
5,searcher,0,Did not die,739
6,searcher,0,Did not die,739
7,searcher,0,Did not die,739
8,searcher,0,Did not die,739
9,searcher,0,Did not die,739
10,digger,0,Did not die,739
11,digger,0,Did not die,739
12,digger,0,Did not die,739
13,digger,0,Did not die,739
14,digger,0,Did not die,739
15,minerBuilder,0,Did not die,739
16,minerBuilder,0,Did not die,739
17,minerBuilder,0,Did not die,739
18,minerBuilder,5,Did not die,739
19,minerBuilder,5,Did not die,739
20,superMiner,0,Pit,656
21,superMiner,0,Did not die,739
22,superMiner,0,Did not die,739
23,superMiner,0,Pit,551
24,superMiner,0,Did not die,739
25,ultimateMiner,0,Pit,738
26,ultimateMiner,0,Did not die,739
27,ultimateMiner,0,Did not die,739
28,ultimateMiner,0,Did not die,739
29,ultimateMiner,0,Did not die,739
